policy_id,customer_id,policy_type,premium,coverage_amount,deductible,policy_start_date,policy_end_date,policy_status,first_name,last_name,age,gender,marital_status,region,income,credit_score,employment_status,engagement_score,mobile_app_logins,response_time_minutes,risk_zone,past_claim_count,past_claim_amount_total,max_severity,last_claim_date,days_since_last_claim,driving_score,bmi,smoker_flag,property_risk_index,raw_text,sentiment_score,will_file_claim
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,96187.88884313399,786,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,85.95372595523166,20.923013277993455,0,2,Car vandalized overnight,-0.08806833887366522,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,55808.517589672745,606,Student,55,8,200,3,0,0.0,1.0,,9999.0,80.57613240879665,28.885483995571644,0,4,Water leak caused interior damage,0.014995371918363155,0
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,72497.29291117394,750,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,64.67970204463096,21.551855546872734,0,4,Severe collision with significant damage,0.33971971097639153,0
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,104532.87144445481,701,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,74.29123367194855,18.526177791988253,1,4,"Small scratch, almost no damage",-0.29710432673774645,0
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,87545.22043338069,720,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,72.59096790598761,24.21949384312523,0,4,Theft incident reported in neighborhood,-0.02285321030221739,1
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,116373.11732568029,713,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,69.98273176152361,24.205621478578458,0,2,Car vandalized overnight,0.002733970424088076,0
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,69904.17034970789,664,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,79.97264268531909,28.451773629396204,0,2,Windshield cracked by falling debris,0.004953453796170486,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,140214.64507359435,824,Employed,88,25,20,1,0,0.0,1.0,,9999.0,86.83622981827686,15.520318532053214,0,1,Minor accident but resolved quickly,0.065801355882742,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,90846.34804930407,704,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,64.87041135966825,16.650493004921803,0,2,Water leak caused interior damage,-0.027054191483890974,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,77388.1785847163,641,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,63.86933576046108,23.626274824554166,0,5,Severe collision with significant damage,0.38906107757382297,1
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,96414.6592674828,793,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,90.47957354266838,20.923013277993455,0,2,Car vandalized overnight,-0.043846522539182725,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,59552.04871797223,587,Student,55,8,200,3,0,0.0,1.0,,9999.0,75.99330845527196,28.885483995571644,0,4,Water leak caused interior damage,-0.05573919523582577,1
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,85875.76514172957,749,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,73.3308456448635,21.551855546872734,0,4,Severe collision with significant damage,0.2621933846253528,0
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,105504.40666183985,696,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,74.86959477914759,18.526177791988253,1,4,"Small scratch, almost no damage",-0.28315967241876794,1
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,88800.02158202873,707,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,66.25971272464439,24.21949384312523,0,4,Theft incident reported in neighborhood,-0.0574814599475407,1
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,126906.06587430145,670,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,68.22014171942925,24.205621478578458,0,2,Car vandalized overnight,-0.0491966441555029,0
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,69831.54030800005,640,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,77.4801285379331,28.451773629396204,0,2,Windshield cracked by falling debris,-0.013591015163982662,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,128262.85048653648,746,Employed,88,25,20,1,0,0.0,1.0,,9999.0,92.72323254699306,15.520318532053214,0,1,Minor accident but resolved quickly,0.11167522283952178,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,91307.38089588005,703,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,68.34266445023079,16.650493004921803,0,2,Water leak caused interior damage,-0.058311894692965306,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,74675.52418336525,649,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,63.85501578285063,23.626274824554166,0,5,Severe collision with significant damage,0.26920792173833863,0
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,101871.1790130526,763,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,87.8049862921016,20.923013277993455,0,2,Car vandalized overnight,0.015115565257382134,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,62944.489402677034,630,Student,55,8,200,3,0,0.0,1.0,,9999.0,80.51889583643886,28.885483995571644,0,4,Water leak caused interior damage,0.03764136069042365,1
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,76881.19247736048,754,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,55.70745036753894,21.551855546872734,0,4,Severe collision with significant damage,0.35516275105028133,0
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,106624.4145586243,709,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,81.86520746059338,18.526177791988253,1,4,"Small scratch, almost no damage",-0.26328878482271384,0
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,84397.86456696087,723,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,72.63589029291613,24.21949384312523,0,4,Theft incident reported in neighborhood,0.00014052578430615793,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,116137.7693124201,656,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,74.00900366973625,24.205621478578458,0,2,Car vandalized overnight,0.07893917883061259,0
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,68601.95631244237,640,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,79.34212302171467,28.451773629396204,0,2,Windshield cracked by falling debris,-0.07838538969128855,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,134546.31499461443,778,Employed,88,25,20,1,0,0.0,1.0,,9999.0,90.79473482247221,15.520318532053214,0,1,Minor accident but resolved quickly,0.1209421803730382,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,100534.11288244849,697,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,71.78785324732505,16.650493004921803,0,2,Water leak caused interior damage,-0.08609864820663599,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,70899.63644475654,638,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,69.48288472737983,23.626274824554166,0,5,Severe collision with significant damage,0.39311592293677794,1
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,96871.80869480064,794,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,91.64209865135851,20.923013277993455,0,2,Car vandalized overnight,-0.007197919689400563,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,61695.772279163735,586,Student,55,8,200,3,0,0.0,1.0,,9999.0,78.55155098798939,28.885483995571644,0,4,Water leak caused interior damage,0.010149605646803877,0
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,83490.82039196207,757,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,65.85498209466897,21.551855546872734,0,4,Severe collision with significant damage,0.38265612812955385,1
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,119148.90393182916,703,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,74.1607292631446,18.526177791988253,1,4,"Small scratch, almost no damage",-0.2004645873148242,1
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,91491.6819973655,724,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,74.58692543778292,24.21949384312523,0,4,Theft incident reported in neighborhood,0.026906648228423292,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,123294.93230790057,680,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,76.19960857782142,24.205621478578458,0,2,Car vandalized overnight,0.041525397883004384,1
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,69172.23698258228,637,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,74.53948811700663,28.451773629396204,0,2,Windshield cracked by falling debris,-0.053276734494847204,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,138586.52153484378,756,Employed,88,25,20,1,0,0.0,1.0,,9999.0,88.89362678344142,15.520318532053214,0,1,Minor accident but resolved quickly,0.20132520991542388,0
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,87558.71193061066,735,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,67.64403565018186,16.650493004921803,0,2,Water leak caused interior damage,-0.03611813697444998,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,73735.33641276091,663,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,65.94733862948664,23.626274824554166,0,5,Severe collision with significant damage,0.341756522868801,0
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,94070.30301256434,749,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,91.00815753237046,20.923013277993455,0,2,Car vandalized overnight,0.013542128867649734,1
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,59084.60993504393,602,Student,55,8,200,3,0,0.0,1.0,,9999.0,81.56810512080044,28.885483995571644,0,4,Water leak caused interior damage,0.015095913152463817,0
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,83850.5651599988,736,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,60.663030636190264,21.551855546872734,0,4,Severe collision with significant damage,0.3214071598883761,1
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,109161.230252652,686,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,76.91614736921778,18.526177791988253,1,4,"Small scratch, almost no damage",-0.25866396458869484,0
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,81903.82827701398,692,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,71.63110048104537,24.21949384312523,0,4,Theft incident reported in neighborhood,0.0744117658434738,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,118560.88741883205,681,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,71.49502285921498,24.205621478578458,0,2,Car vandalized overnight,-0.07341682807670476,0
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,70896.33300610351,679,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,78.47821169865881,28.451773629396204,0,2,Windshield cracked by falling debris,0.07426096205063631,0
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,133976.94145216423,772,Employed,88,25,20,1,0,0.0,1.0,,9999.0,88.60567782376465,15.520318532053214,0,1,Minor accident but resolved quickly,0.12958174409584217,0
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,93399.6848162494,708,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,69.82628489880958,16.650493004921803,0,2,Water leak caused interior damage,-0.11688774167175767,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,69754.70309699557,623,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,66.08831535473624,23.626274824554166,0,5,Severe collision with significant damage,0.3066634133258547,0
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,96518.7801817557,778,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,92.60664162296152,20.923013277993455,0,2,Car vandalized overnight,-0.04817387688675967,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,57973.427121473906,611,Student,55,8,200,3,0,0.0,1.0,,9999.0,75.41543725881037,28.885483995571644,0,4,Water leak caused interior damage,-0.031196465039137113,1
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,74760.19725115011,719,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,70.01381344435869,21.551855546872734,0,4,Severe collision with significant damage,0.3697643370687331,1
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,121774.65366592514,671,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,74.30707579281217,18.526177791988253,1,4,"Small scratch, almost no damage",-0.38517400648807865,0
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,80614.93681887457,741,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,69.17585356535244,24.21949384312523,0,4,Theft incident reported in neighborhood,0.009340219623882677,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,123659.53728770405,666,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,67.02668875209486,24.205621478578458,0,2,Car vandalized overnight,-0.052754525416244216,1
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,65335.75751907829,657,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,76.00438966819148,28.451773629396204,0,2,Windshield cracked by falling debris,0.06952612858005293,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,132944.85003396703,748,Employed,88,25,20,1,0,0.0,1.0,,9999.0,86.93206233229616,15.520318532053214,0,1,Minor accident but resolved quickly,0.12815783062946795,0
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,91205.29120379854,720,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,68.1167515652559,16.650493004921803,0,2,Water leak caused interior damage,0.04714230858663648,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,69165.93231605297,654,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,71.58172596016293,23.626274824554166,0,5,Severe collision with significant damage,0.43051744899571465,0
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,97349.04674648715,786,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,88.18373013050015,20.923013277993455,0,2,Car vandalized overnight,0.05416366217331084,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,59414.108773033535,608,Student,55,8,200,3,0,0.0,1.0,,9999.0,76.4427464705593,28.885483995571644,0,4,Water leak caused interior damage,-0.02832033714812428,0
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,76615.93193417718,753,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,59.860120119645394,21.551855546872734,0,4,Severe collision with significant damage,0.3460399921139338,1
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,106710.04252487975,724,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,74.6379893577954,18.526177791988253,1,4,"Small scratch, almost no damage",-0.26124866496441573,0
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,89346.9080921571,716,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,68.40927047913338,24.21949384312523,0,4,Theft incident reported in neighborhood,0.03181186876894628,0
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,124019.94752281053,684,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,65.44029601188033,24.205621478578458,0,2,Car vandalized overnight,-0.025534763487708136,0
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,66232.93590709595,652,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,82.74847804065706,28.451773629396204,0,2,Windshield cracked by falling debris,-0.00596312367951239,1
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,134663.33965927528,773,Employed,88,25,20,1,0,0.0,1.0,,9999.0,84.98292145858261,15.520318532053214,0,1,Minor accident but resolved quickly,0.15534635748363915,1
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,94948.06429174585,701,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,69.70502294652118,16.650493004921803,0,2,Water leak caused interior damage,-0.04524459630239333,0
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,69294.0844610978,632,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,62.28442815737588,23.626274824554166,0,5,Severe collision with significant damage,0.3265945855835441,1
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,101352.09063550057,795,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,96.03493738333093,20.923013277993455,0,2,Car vandalized overnight,-0.007913194070199527,1
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,67898.28478781394,621,Student,55,8,200,3,0,0.0,1.0,,9999.0,86.55964368209375,28.885483995571644,0,4,Water leak caused interior damage,-0.001291059252417922,1
9,9,Health,220.0,1000000.0,100.0,2019-10-01,,Active,Isabella,Rossi,34,Female,Married,Colorado,87860.13905570186,723,Employed,78,17,40,2,1,1500.0,2.0,2024-04-03,273.0,66.73039359502009,21.551855546872734,0,4,Severe collision with significant damage,0.39669427400008217,0
10,10,Auto,150.0,55000.0,750.0,2023-01-30,,Active,Jason,Liu,47,Male,Married,Massachusetts,102240.35512558703,654,Employed,65,11,90,2,1,5000.0,3.0,2025-01-12,-11.0,84.47573092960566,18.526177791988253,1,4,"Small scratch, almost no damage",-0.21640567125242222,1
1,1,Auto,120.0,50000.0,500.0,2023-01-10,,Active,Alice,Chen,32,Female,Single,New York,81949.49214313939,697,Employed,75,22,45,2,2,4700.0,3.0,2024-06-10,205.0,77.38374173584545,24.21949384312523,0,4,Theft incident reported in neighborhood,-0.05495314102858243,1
2,2,Home,95.0,350000.0,1000.0,2022-05-01,,Active,Bob,Martinez,45,Male,Married,California,120674.63754877317,697,Employed,82,18,30,1,1,12000.0,5.0,2024-05-18,228.0,71.41489684254401,24.205621478578458,0,2,Car vandalized overnight,-0.040604246597178234,1
3,3,Auto,140.0,60000.0,750.0,2023-03-15,,Active,Carol,Wong,29,Female,Single,Texas,62712.49219746624,619,Self-Employed,60,5,120,3,1,8000.0,4.0,2024-03-21,286.0,82.81999796413446,28.451773629396204,0,2,Windshield cracked by falling debris,-0.0485376143781551,0
4,4,Life,200.0,250000.0,0.0,2020-07-20,,Active,Daniel,Kim,52,Male,Married,Illinois,132327.01320347036,784,Employed,88,25,20,1,0,0.0,1.0,,9999.0,88.9952320892901,15.520318532053214,0,1,Minor accident but resolved quickly,0.21228903674623772,0
5,5,Auto,110.0,45000.0,500.0,2022-11-11,,Active,Eva,Lopez,40,Female,Married,Florida,89450.83598528292,695,Employed,69,10,75,2,1,2200.0,2.0,2024-09-01,122.0,60.980649656979715,16.650493004921803,0,2,Water leak caused interior damage,-0.006013529510126771,1
6,6,Auto,175.0,40000.0,1000.0,2023-02-01,,Active,Frank,Ng,37,Male,Single,Washington,80605.2862587745,641,Unemployed,40,2,180,4,0,0.0,1.0,,9999.0,70.34620993754743,23.626274824554166,0,5,Severe collision with significant damage,0.37580646476225105,1
7,7,Home,130.0,500000.0,1500.0,2021-09-12,,Active,Grace,Patel,50,Female,Widowed,New Jersey,99818.38937885265,770,Employed,95,30,15,1,1,9000.0,4.0,2024-11-30,32.0,87.06311540835485,20.923013277993455,0,2,Car vandalized overnight,0.002888718200675642,0
8,8,Auto,105.0,30000.0,500.0,2023-05-01,,Active,Henry,Smith,28,Male,Single,Nevada,60867.74690464937,611,Student,55,8,200,3,0,0.0,1.0,,9999.0,77.61909746601307,28.885483995571644,0,4,Water leak caused interior damage,-0.035783500685881965,1
